通知人,标题,日期,链接,附件数,附件下载次数
质量办,关于制定学院本科教学督导工作管理实施办法的通知,2024-12-18,https://jwch.fzu.edu.cn/../info/1040/13801.htm,2,"572,579"
质量办,关于上报学院本科教育教学质量保障2024年工作总结和2025年工作计划的通知,2024-12-18,https://jwch.fzu.edu.cn/../info/1040/13797.htm,0,0
教学运行,关于2024-2025学年第一学期《中国近现代史纲要》课程期末考试安排的通知,2024-12-17,https://jwch.fzu.edu.cn/../info/1036/13796.htm,1,745
教学运行,关于2024-2025学年第一学期《大学英语（四）》课程期末考试安排的通知,2024-12-17,https://jwch.fzu.edu.cn/../info/1036/13795.htm,1,899
教学运行,关于2024-2025学年第一学期计算机语言类课程期末考试安排的通知,2024-12-13,https://jwch.fzu.edu.cn/../info/1036/13792.htm,1,594
教材中心,关于公布福州大学2024年本科数字教材建设立项项目的通知,2024-12-12,https://jwch.fzu.edu.cn/../info/1042/13837.htm,1,571
实践科,关于做好2025届本科生毕业设计（论文）工作的通知,2024-12-12,https://jwch.fzu.edu.cn/../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=13791,1,4802
综合科,关于评选2024年优秀教学管理人员的通知,2024-12-12,https://jwch.fzu.edu.cn/../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1035&wbnewsid=13790,2,"215,210"
实践科,关于做好2024年省级以上大学生创新训练计划项目和第三十期本科生科研训练计划项目中期检查工作的通知,2024-12-09,https://jwch.fzu.edu.cn/../info/1039/13784.htm,1,1921
质量办,关于举办福州大学第六十二场“教学有道” 研讨活动的通知,2024-12-05,https://jwch.fzu.edu.cn/../info/1040/13783.htm,0,0
教学运行,关于2024-2025学年第一学期《概率论与数理统计》课程期末考试安排的通知,2024-12-04,https://jwch.fzu.edu.cn/../info/1036/13780.htm,1,539
教学运行,关于2024-2025学年第一学期《马克思主义基本原理》和《毛泽东思想和中国特色社会主义理论体系概论》课程期末考试安排的通知,2024-12-03,https://jwch.fzu.edu.cn/../info/1036/13779.htm,2,"524,503"
实践科,关于举办第十五届全国大学生电子商务“三创赛”福州大学校赛的通知,2024-12-02,https://jwch.fzu.edu.cn/../info/1039/13778.htm,1,738
计划科,关于2024-2025学年第二学期修读辅修专业学生名单的公示,2024-12-02,https://jwch.fzu.edu.cn/../info/1038/13777.htm,0,0
实践科,关于组织参加2025年美国大学生数学建模竞赛（MCM/ICM）通知,2024-11-29,https://jwch.fzu.edu.cn/../info/1039/13773.htm,0,0
实践科,关于组织申报2024年高校双碳实践育人案例的通知,2024-11-28,https://jwch.fzu.edu.cn/../info/1039/13772.htm,1,772
质量办,关于举办福州大学第六十一场“教学有道” 研讨活动的通知,2024-11-26,https://jwch.fzu.edu.cn/../info/1040/13769.htm,0,0
质量办,关于举办福州大学第六十场“教学有道”研讨活动的通知,2024-11-25,https://jwch.fzu.edu.cn/../info/1040/13768.htm,0,0
教学运行,关于2024-2025学年第一学期《工程制图E》课程期末考试安排的通知,2024-11-22,https://jwch.fzu.edu.cn/../info/1036/13766.htm,1,525
教学运行,关于2024-2025学年第一学期《高等数学A（下）》课程期末考试安排的通知,2024-11-22,https://jwch.fzu.edu.cn/../info/1036/13765.htm,1,683
教材中心,关于开展2024年本科数字教材建设立项工作的通知,2024-11-21,https://jwch.fzu.edu.cn/../info/1042/13763.htm,3,"897,533,590"
实践科,关于公布第十六届蓝桥杯全国软件和信息技术专业人才大赛福州大学选拔赛获省赛参赛资格名单的通知,2024-11-19,https://jwch.fzu.edu.cn/../info/1039/13761.htm,1,2423
教材中心,关于做好2024-2025学年第二学期教材选用与征订工作的通知,2024-11-15,https://jwch.fzu.edu.cn/../info/1042/13760.htm,2,"727,798"
综合科,关于2024-2025学年第一学期再次开放本科生学生证补办及火车票优惠区间更改的通知,2024-11-15,https://jwch.fzu.edu.cn/../info/1035/13759.htm,0,0
质量办,关于举办福州大学第五十九场“教学有道” 研讨活动的通知,2024-11-14,https://jwch.fzu.edu.cn/../info/1040/13758.htm,0,0
实践科,关于公布2024年福州大学第十八届本科生数学建模竞赛获奖名单的通知,2024-11-13,https://jwch.fzu.edu.cn/../info/1039/13754.htm,1,3275
教学运行,关于2024-2025学年第一学期《习近平新时代中国特色社会主义思想概论》课程期末考试安排的通知,2024-11-12,https://jwch.fzu.edu.cn/../info/1036/13752.htm,1,651
计划科,关于组织申报2024-2025学年第二学期通识教育选修课的通知,2024-11-11,https://jwch.fzu.edu.cn/../info/1038/13750.htm,0,0
教材中心,关于举办福州大学第五十八场“教学有道”研讨活动暨数字教材建设专题研讨会的通知,2024-11-11,https://jwch.fzu.edu.cn/../info/1042/13749.htm,0,0
教学运行,关于公布2024学年各学院转专业实施细则的通知,2024-11-08,https://jwch.fzu.edu.cn/../info/1036/13748.htm,1,8449
教学运行,关于2024-2025学年第一学期《线性代数》和《线性代数与解析几何》课程半期考试安排的通知,2024-11-07,https://jwch.fzu.edu.cn/../info/1036/13746.htm,1,713
教研教改,关于开展2024年度教育部产学合作协同育人项目结题验收工作的通知,2024-11-05,https://jwch.fzu.edu.cn/../info/1037/13743.htm,0,0
计划科,关于2024-2025学年第一学期在校学生申请辅修专业的通知,2024-11-01,https://jwch.fzu.edu.cn/../info/1038/13741.htm,0,0
教学运行,关于2024-2025学年第一学期《高等数学A（上）》、《高等数学B（上）》、《高等数学C（上）》、《高等数学D》课程半期考试安排的通知,2024-10-29,https://jwch.fzu.edu.cn/../info/1036/13739.htm,1,1847
质量办,关于期中党政领导集中听课的通知,2024-10-28,https://jwch.fzu.edu.cn/../info/1040/13738.htm,4,"463,481,680,464"
教学运行,关于做好2024学年本科生转专业工作的通知,2024-10-23,https://jwch.fzu.edu.cn/../info/1036/13733.htm,0,0
教材中心,关于进一步加强马克思主义理论研究和建设工程重点教材选用工作的通知,2024-10-21,https://jwch.fzu.edu.cn/../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1042&wbnewsid=13729,1,51
质量办,关于举办2024年教师教学创新大赛培训会暨第五十七场“教学有道”研讨活动的通知,2024-10-21,https://jwch.fzu.edu.cn/../info/1040/13728.htm,0,0
教学运行,关于做好2025届预计毕业生电子注册图像采集工作的通知,2024-10-21,https://jwch.fzu.edu.cn/../info/1036/13727.htm,3,"1131,1170,833"
教学运行,关于2024-2025学年第一学期《大学物理A（下）》、《大学物理B（下）》课程半期考试安排的通知,2024-10-18,https://jwch.fzu.edu.cn/../info/1036/13725.htm,1,776
质量办,关于2024年新上岗教师教学达标培训班教师配备导师的通知,2024-10-16,https://jwch.fzu.edu.cn/../info/1040/13723.htm,1,1317
质量办,诚邀2019届毕业生参与培养目标达成和职业发展问卷调研,2024-10-15,https://jwch.fzu.edu.cn/../info/1040/13721.htm,0,0
实践科,关于举办第十六届蓝桥杯全国软件和信息技术专业人才大赛福州大学选拔赛的通知,2024-10-15,https://jwch.fzu.edu.cn/../info/1039/13720.htm,0,0
质量办,关于举办福州大学第五十六场“教学有道”研讨活动的通知,2024-10-15,https://jwch.fzu.edu.cn/../info/1040/13719.htm,0,0
计划科,关于全校性通识教育选修课《爱课程：管理沟通》学习的重要提示,2024-10-14,https://jwch.fzu.edu.cn/../info/1038/13717.htm,0,0
教学运行,关于2024-2025学年第一学期《概率论与数理统计》课程半期考试安排的通知,2024-10-12,https://jwch.fzu.edu.cn/../info/1036/13716.htm,1,574
教学运行,关于填报课程学生出勤率信息的通知,2024-10-11,https://jwch.fzu.edu.cn/../info/1036/13715.htm,0,0
教学运行,关于2024-2025学年第一学期《高等数学A（下）》课程半期考试安排的通知,2024-09-30,https://jwch.fzu.edu.cn/../info/1036/13705.htm,1,727
实践科,关于2024年高校教学基本状态数据库教学相关数据报送的通知,2024-09-29,https://jwch.fzu.edu.cn/../info/1039/13704.htm,1,777
质量办,关于开展福州大学2024年教师教学创新大赛的通知,2024-09-29,https://jwch.fzu.edu.cn/../info/1040/13703.htm,1,625
教学运行,关于组织2024级新生开展学籍信息自查工作的通知,2024-09-27,https://jwch.fzu.edu.cn/../info/1036/13701.htm,0,0
实践科,关于举办2024年福州大学大学生工程实践与创新能力大赛暨2024年福建省大学生工程实践与创新能力大赛福州大学分区赛的通知,2024-09-27,https://jwch.fzu.edu.cn/../info/1039/13700.htm,3,"870,918,1583"
教材中心,关于举办福州大学第五十五场“教学有道”研讨活动的通知,2024-09-25,https://jwch.fzu.edu.cn/../info/1042/13697.htm,0,0
教学运行,关于2024年国庆节放假课程调整的通知,2024-09-24,https://jwch.fzu.edu.cn/../info/1036/13696.htm,0,0
计划科,关于通识教育选修课《国际化拔尖创新人才科研训练》宣讲会及选课的通知,2024-09-23,https://jwch.fzu.edu.cn/../info/1038/13695.htm,1,2245
计划科,关于组织2024级学生参加《大学生国家安全教育》课程学习的通知,2024-09-23,https://jwch.fzu.edu.cn/../info/1038/13693.htm,1,5109
计划科,关于公布《大学生国家安全教育》课程实施方案的通知,2024-09-23,https://jwch.fzu.edu.cn/../info/1038/13692.htm,0,0
质量办,关于开展思政课教学专项检查的通知,2024-09-20,https://jwch.fzu.edu.cn/../info/1040/13689.htm,0,0
教学运行,关于2024-2025学年第一学期2024级体育理论教室安排的通知,2024-09-20,https://jwch.fzu.edu.cn/../info/1036/13688.htm,0,0
质量办,福州大学关于成立思政课教学指导组的通知,2024-09-20,https://jwch.fzu.edu.cn/../info/1040/13687.htm,0,0
教学运行,关于做好2024-2025学年第二学期排课准备工作的通知,2024-09-19,https://jwch.fzu.edu.cn/../info/1036/13686.htm,0,0
质量办,关于举办福州大学第五十四场“教学有道”研讨活动的通知,2024-09-14,https://jwch.fzu.edu.cn/../info/1040/13683.htm,0,0
质量办,关于每学期开展常态化课程考核教学档案检查的通知,2024-09-14,https://jwch.fzu.edu.cn/../info/1040/13682.htm,2,"789,631"
计划科,关于2024-2025学年第一学期爱课程平台参加通识教育选修课学习的重要提示,2024-09-13,https://jwch.fzu.edu.cn/../info/1038/13681.htm,0,0
教材中心,关于申请试用高等教育出版社“云创”数字教材创作编写平台的通知,2024-09-13,https://jwch.fzu.edu.cn/../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1042&wbnewsid=13680,3,"336,59,898"
实践科,关于公布第二十八、二十九期本科生科研训练计划项目结题成绩的通知,2024-09-11,https://jwch.fzu.edu.cn/../info/1039/13677.htm,2,"3683,1969"
实践科,关于公布省级以上大学生创新创业训练计划项目结题成绩的通知,2024-09-11,https://jwch.fzu.edu.cn/../info/1039/13676.htm,2,"1407,2243"
教学运行,关于2024年中秋节放假课程调整的通知,2024-09-11,https://jwch.fzu.edu.cn/../info/1036/13675.htm,0,0
教学运行,关于2024-2025学年第一学期重新学习选课、缴费的通知,2024-09-09,https://jwch.fzu.edu.cn/../info/1036/13671.htm,0,0
综合科,关于召开2024-2025学年秋季学期期初本科教育教学工作会议的通知,2024-09-06,https://jwch.fzu.edu.cn/../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1035&wbnewsid=13666,0,0
教学运行,关于2024-2025-01体育理论教室安排（2023级）的通知,2024-09-06,https://jwch.fzu.edu.cn/../info/1036/13665.htm,0,0
实践科,关于做好2023-2024学年度本科毕业论文（设计）抽检工作的通知,2024-09-05,https://jwch.fzu.edu.cn/../info/1039/13662.htm,1,760
质量办,关于开展申请类督导听课工作的通知,2024-09-05,https://jwch.fzu.edu.cn/../info/1040/13661.htm,1,556
教材中心,关于2024级新生领取课程教材的通知,2024-09-04,https://jwch.fzu.edu.cn/../info/1042/13658.htm,0,0
综合科,关于2024-2025学年第一学期本科生学生证和火车票优惠区间更改的通知,2024-09-04,https://jwch.fzu.edu.cn/../info/1035/13654.htm,0,0
综合科,关于召开2024年宁夏大学、银川能源学院本科生赴福州大学访学见面交流会的通知,2024-09-02,https://jwch.fzu.edu.cn/../info/1035/13651.htm,0,0
计划科,关于公布2024-2025学年第一学期通选课取消开课名单的通知,2024-09-02,https://jwch.fzu.edu.cn/../info/1038/13650.htm,0,0
教学运行,关于做好2024年9月退役复学学生转专业的通知,2024-09-02,https://jwch.fzu.edu.cn/../info/1036/13649.htm,2,"824,658"
综合科,关于2024级本科生（含访学学生）学生证信息采集的通知,2024-09-02,https://jwch.fzu.edu.cn/../info/1035/13648.htm,0,0
教研教改,福州大学关于开展2024级“数智实验班” 招生工作的通知,2024-08-30,https://jwch.fzu.edu.cn/../info/1037/13647.htm,3,"3895,1101,3193"
综合科,关于购买优惠火车票相关事宜的通知,2024-08-30,https://jwch.fzu.edu.cn/../info/1035/13646.htm,0,0
教研教改,福州大学关于开展2024级“嘉锡化学拔尖班”招生工作的通知,2024-08-30,https://jwch.fzu.edu.cn/../info/1037/13643.htm,0,0
教研教改,福州大学关于开展2024级“数理综合班”招生工作的通知,2024-08-30,https://jwch.fzu.edu.cn/../info/1037/13642.htm,2,"2865,896"
教研教改,福州大学关于开展2024级“数理金融实验班”招生工作的通知,2024-08-30,https://jwch.fzu.edu.cn/../info/1037/13641.htm,4,"2042,2110,662,790"
教学运行,关于2024-2025学年第一学期辅修专业补退选、缴费的通知,2024-08-26,https://jwch.fzu.edu.cn/../info/1036/13639.htm,0,0
计划科,关于2024-2025学年第一学期港澳台侨学生思政课和军事课程退选替代的通知,2024-08-25,https://jwch.fzu.edu.cn/../info/1038/13637.htm,2,"1144,901"
计划科,关于2024-2025学年第一学期通识教育选修课选课的通知,2024-08-25,https://jwch.fzu.edu.cn/../info/1038/13636.htm,3,"3229,1660,4763"
质量办,关于开学第一周集中听课的通知,2024-08-25,https://jwch.fzu.edu.cn/../info/1040/13635.htm,4,"592,590,696,544"
教学运行,关于2024-2025学年第一学期学期选课补退选的通知,2024-08-25,https://jwch.fzu.edu.cn/../info/1036/13634.htm,0,0
质量办,关于开展2024年工程教育认证研讨培训的通知,2024-08-02,https://jwch.fzu.edu.cn/../info/1040/13630.htm,2,"675,531"
教学运行,福州大学关于印发《福州大学本科生转专业管理实施办法》的通知,2024-08-01,https://jwch.fzu.edu.cn/../info/1036/13629.htm,0,0
实践科,关于转发《关于举办2024年福建省大学生人工智能创意赛暨昇腾AI创新大赛的通知》的通知,2024-07-10,https://jwch.fzu.edu.cn/../info/1039/13628.htm,1,1394
实践科,关于公布第十三届大学生软件设计与服务外包创新创业竞赛获奖名单的通知,2024-07-06,https://jwch.fzu.edu.cn/../info/1039/13617.htm,0,0
综合科,教务处关于2024年暑假用印安排的通知,2024-07-06,https://jwch.fzu.edu.cn/../content.jsp?urltype=news.NewsContentUrl&wbtreeid=1035&wbnewsid=13626,0,0
实践科,关于公布福州大学2024届本科生优秀毕业设计（论文）名单的通知,2024-07-06,https://jwch.fzu.edu.cn/../info/1039/13616.htm,1,3973
教研教改,福州大学关于公布第八届 远志创业实验班学生名单的通知,2024-07-01,https://jwch.fzu.edu.cn/../info/1037/13602.htm,0,0
教学运行,关于2024-2025学年第一学期辅修专业选课的通知,2024-07-01,https://jwch.fzu.edu.cn/../info/1036/13601.htm,0,0
综合科,友情提示,2024-06-29,https://jwch.fzu.edu.cn/../info/1035/13592.htm,0,0
教学运行,关于做好期末复习考试及下学期开学等工作的通知,2024-06-26,https://jwch.fzu.edu.cn/../info/1036/13585.htm,0,0
